Размер массива;Тип массива;Выбор (time);Выбор (operations);Пузырёк (time);Пузырёк (operations);Пузырек Айв1 (time);Пузырек Айв1 (operations);Пузырёк Айв1+2 (time);Пузырёк Айв1+2 (operations);Вставки (time);Вставки (operations);Бин. вставки (time);Бин. вставки (operations);Подсчет (time);Подсчет (operations);Цифровая (time);Цифровая (operations);Слияние (time);Слияние (operations);Быстрая (time);Быстрая (operations);Пирамидальная (time);Пирамидальная (operations);Шелла-Циура (time);Шелла-Циура (operations);Шелла-Шелла (time);Шелла-Шелла (operations)
100;случайные числа 0-5;8819;26122;3053;49479;3221;50544;3538;37530;1193;19160;8488;19773;384;1952;434;5169;10601;13839;1340;9433;2250;12548;3990;24138;581;10404;
100;случайные числа 0-4000;8911;26377;3073;49603;3261;48307;3763;36300;1571;19408;9133;22615;1781;28826;684;10031;10720;13977;949;7316;2676;14488;5026;24448;785;11904;
100;почти отсортированный массив;7610;25657;2119;41311;2708;33142;1296;10035;220;2824;1046;10594;2068;29455;685;10031;9684;13119;2181;27767;2991;15561;576;3718;476;9154;
100;обратно отсортированный массив;7998;28268;2274;60287;3363;65142;3631;55144;2336;40776;18070;38158;2061;30566;693;10031;9410;12567;3936;39778;2518;12983;7279;51158;496;10664;
200;случайные числа 0-5;35868;102222;12160;193075;13031;194974;13960;144445;3923;66552;30316;64850;700;3852;746;8269;19966;31003;3646;27548;4933;28445;13433;84150;1296;24288;
200;случайные числа 0-4000;36316;102893;12136;202571;13718;210924;15111;161043;4999;85544;35183;83447;2176;31805;1046;15931;19868;31315;2025;17955;5915;32841;16126;107890;1834;29668;
200;почти отсортированный массив;33423;101307;7816;162555;12505;152952;8518;65523;429;5512;1983;24187;1886;31479;1031;15931;18271;29545;7661;112324;6875;35503;1208;7850;886;19678;
200;обратно отсортированный массив;35018;111469;8186;240575;12846;260277;13959;220276;9099;161552;70906;139383;2038;32452;1016;15931;17761;27961;13556;152467;5628;29692;27488;202900;1040;25448;
300;случайные числа 0-5;82388;228276;27480;436271;31488;447448;30964;331101;8603;153144;68456;145994;1068;5751;1003;11369;29108;49163;7336;54548;8434;47042;28880;193290;1986;38908;
300;случайные числа 0-4000;81756;229372;30870;454427;32408;477007;33203;364206;10325;189456;76746;173468;2168;33691;1450;21831;34698;49847;3006;24974;9868;53169;40195;238680;4310;47858;
