Размер массива;Тип массива;Выбор (time);Выбор (operations);Пузырёк (time);Пузырёк (operations);Пузырек Айв1 (time);Пузырек Айв1 (operations);Пузырёк Айв1+2 (time);Пузырёк Айв1+2 (operations);Вставки (time);Вставки (operations);Бин. вставки (time);Бин. вставки (operations);Подсчет (time);Подсчет (operations);Цифровая (time);Цифровая (operations);Слияние (time);Слияние (operations);Быстрая (time);Быстрая (operations);Пирамидальная (time);Пирамидальная (operations);Шелла-Циура (time);Шелла-Циура (operations);Шелла-Шелла (time);Шелла-Шелла (operations)
300;почти отсортированный массив;79911;226957;17578;364651;27210;355347;23585;172367;766;9904;3770;40183;2219;33747;1535;21831;29716;46697;17368;255376;10629;57106;2076;14240;1640;37638;
300;обратно отсортированный массив;79076;249082;17418;540847;27914;585392;30276;495384;18128;362296;156696;302026;2159;34107;1468;21831;29283;44339;32161;337415;9643;48470;61983;454730;1816;43698;
400;случайные числа 0-5;148909;404526;45906;773667;50273;789032;57928;588084;15071;268136;124671;255050;1228;7653;1348;14469;40634;68617;11561;85893;11993;64180;49483;338326;2749;54542;
400;случайные числа 0-4000;146466;405923;49760;796899;51363;830744;57496;623286;19610;314600;129863;280611;2416;35303;1806;27731;41138;69229;4054;34826;14378;74920;63306;396406;5121;70002;
400;почти отсортированный массив;144841;402607;28820;646755;48908;637752;43548;329223;1063;14312;5208;57187;2238;35576;1853;27731;39049;64801;33910;502991;15625;79777;3041;21046;1948;47112;
400;обратно отсортированный массив;141378;441640;28521;961127;50896;1040517;54421;880504;32364;643056;277816;524960;2291;36315;1828;27731;35543;61585;52009;597864;13266;68110;111618;806976;2443;59212;
500;случайные числа 0-5;222660;630566;72511;1211171;77393;1236279;86204;918333;24446;423344;203046;404462;1535;9553;1644;17569;50154;87567;17055;128583;15638;83482;79511;533636;3020;64930;
500;случайные числа 0-4000;225216;632806;81498;1247715;84568;1304807;96141;981836;26995;496432;197173;430764;2441;37414;2215;33631;54401;89091;5358;47795;18905;96107;93868;624996;5586;84660;
500;почти отсортированный массив;230200;628257;47641;1008851;79401;1000147;75618;536067;1379;18704;7265;74093;2591;37498;2316;33631;45536;82215;53920;837042;19451;102216;4023;27836;2796;63890;
500;обратно отсортированный массив;225528;687554;43555;1501343;77545;1625562;86313;1375528;49250;1003688;434758;808975;2678;38208;2356;33631;48541;79263;80830;901179;17813;88305;173075;1259066;3416;76950;
600;случайные числа 0-5;330673;906706;101588;1735815;115089;1771179;122956;1316064;30491;592832;269403;534601;1798;11453;1930;20669;60405;108763;23736;180958;20981;103469;110708;746796;4256;88872;
600;случайные числа 0-4000;332981;909266;114143;1805547;122626;1882824;131518;1429072;43971;732296;305479;621150;2526;39355;2644;39531;63863;109795;6398;53620;23295;118666;131913;921126;7465;114512;
600;почти отсортированный массив;328744;903907;66895;1450955;113869;1442552;114451;792923;1573;23112;8658;92293;2613;39439;2734;39531;55126;102013;78705;1226956;25386;127009;5183;34646;3999;86162;
600;обратно отсортированный массив;337003;988793;66003;2161619;113738;2340682;126871;1980642;68625;1444440;621805;1153345;2796;40087;2675;39531;54980;97201;115416;1308681;21435;109296;249280;1811306;4116;99902;
700;случайные числа 0-5;461671;1232913;140753;2378027;155320;2438943;171471;1823485;42695;837456;406338;776733;2361;13351;2414;23769;75143;129485;31714;234733;23521;123929;152938;1053876;4813;102254;
700;случайные числа 0-4000;456896;1235944;161110;2462391;165050;2585582;183071;1966392;50688;1006184;416241;840993;2716;41323;3676;45431;84916;130811;7961;60826;30350;141644;185679;1264786;9891;137014;
700;почти отсортированный массив;441870;1229557;83751;1973055;160328;1964952;146836;1099773;1969;27512;10280;110752;2780;41263;3055;45431;64381;121589;111616;1732398;29600;152000;5924;41446;4681;104344;
700;обратно отсортированный массив;456551;1341929;83696;2941819;155845;3185707;168931;2695642;94931;1965040;846983;1557550;2871;41952;3073;45431;63568;115763;167300;1752808;29058;130992;352416;2463356;5179;118914;
800;случайные числа 0-5;586096;1609065;186443;3090187;202754;3130342;220093;2326289;54876;1061976;516281;981613;2353;15253;2523;26869;81766;150861;40945;301383;27791;140707;193381;1336222;6043;122186;
800;случайные числа 0-4000;607378;1612473;212421;3203319;236434;3350037;253090;2554782;70943;1288240;540643;1067443;3063;43151;3434;51331;93401;152277;10023;78999;33028;166545;234590;1619052;16123;169746;
800;почти отсортированный массив;598673;1605207;111763;2575155;203581;2567352;206005;1456623;2256;31912;12170;128516;3031;43217;3480;51331;78770;140913;156084;2314480;36281;177563;7426;48642;4325;108356;
800;обратно отсортированный массив;594188;1752397;108809;3842111;203386;4160847;216695;3520780;124418;2565824;1124835;2022169;3103;43915;3469;51331;77238;134487;208020;2338063;29673;152982;452568;3216032;5303;134996;
900;случайные числа 0-5;760745;2035127;227500;3928499;256343;4016239;291358;2994916;68691;1378800;666565;1244396;2776;17150;2811;29969;94064;171625;50464;381808;31113;161460;256276;1733952;6513;135502;
900;случайные числа 0-4000;770831;2039322;264534;4040207;278216;4219474;315433;3192318;81099;1602216;669020;1318140;3011;45122;4036;57231;108958;173515;11146;93072;37378;189651;292121;2013222;26426;200382;
900;почти отсортированный массив;751256;2030857;140738;3257255;259726;3249752;254581;1863473;2598;36312;14411;147288;3205;45159;4078;57231;84953;159829;214695;1873760;39783;202051;7826;55842;5713;129892;
900;обратно отсортированный массив;754786;2213650;139178;4862271;262928;5265822;286608;4455720;155418;3246344;1401981;2547772;3283;45801;3896;57231;84231;153481;264911;2835232;36090;175810;568458;4068382;6573;156482;
1000;случайные числа 0-5;939524;2511269;277295;4834063;309419;4877929;346024;3634121;82226;1670128;838563;1569596;3058;19051;4544;33069;105641;192575;61501;464778;35430;181602;303346;2099812;7561;151104;
1000;случайные числа 0-4000;944158;2515824;322070;4962715;341310;5199472;386354;3936256;92974;1927432;799859;1577004;3158;47002;4211;63131;117116;195125;16201;98833;44808;213785;348663;2421442;37508;203904;
1000;почти отсортированный массив;932216;2506512;169458;4019351;314276;4011747;323040;2320275;2815;40704;15771;165484;3513;47023;4731;63131;93246;178715;235778;3668316;48231;226758;10228;63032;6676;145614;
1000;обратно отсортированный массив;945426;2732911;174834;6002539;322959;6500932;344985;5500822;194275;4007080;1761249;3133463;3446;47708;4256;63131;95899;172721;336233;3572589;39064;197295;709021;5021002;7328;174504;
1100;случайные числа 0-5;1131233;3037347;350858;5880103;381583;5975254;422321;4470091;103248;2082408;1070523;1964433;3211;20952;3431;36169;111228;214925;75688;557323;40228;202177;379925;2616862;8526;180626;
1100;случайные числа 0-4000;1122981;3042300;386238;6049747;414498;6345749;464564;4819212;117629;2421696;1024608;1962275;3311;48892;4611;69031;126403;217379;16691;120140;49176;239763;436239;3040972;30571;243396;
1100;почти отсортированный массив;1134206;3032157;209914;4861455;381828;4854552;387196;2827173;3156;45112;18103;185643;3685;48932;4678;69031;97163;199697;291825;4458155;52781;253574;10198;70242;7865;175446;
1100;обратно отсортированный массив;1134610;3295777;207018;7262627;386896;7865817;417256;6655654;225431;4847456;2120508;3778960;3803;49615;4729;69031;98415;192005;392429;4201768;46678;221750;853031;6073172;8311;204146;
1200;случайные числа 0-5;1336443;3613548;403701;6966579;457873;7063932;504318;5260959;120636;2415560;1181063;2162355;3443;22852;3765;39269;126153;237407;88103;650578;44141;223832;442761;3035002;10335;202586;
1200;случайные числа 0-4000;1350188;3619355;450576;7244819;506034;7607708;557378;5807403;142029;2972040;1256601;2391171;3444;50815;4963;74931;140615;240071;21590;131199;53729;263597;532791;3730602;36353;266456;
1200;почти отсортированный массив;1348670;3607807;238338;5783555;447346;5776952;455075;3384023;3256;49512;19971;205041;4084;50841;5116;74931;106535;221045;386683;3347974;55666;280349;10811;77442;8061;192606;
1200;обратно отсортированный массив;1356408;3918367;242828;8642847;454176;9360867;490736;7920684;264236;5768096;2542330;4484940;4495;51494;5960;74931;121283;211565;469169;5053925;51014;244260;1016899;7225672;10343;224876;
1300;случайные числа 0-5;1575863;4239716;462034;8181091;524453;8326423;578331;6207286;136171;2844784;1366946;2544215;3766;24751;4113;42369;132096;260057;100670;768898;48865;247168;504279;3573232;10715;216916;
1300;случайные числа 0-4000;1583680;4246030;520381;8489135;567393;8902878;624736;6756922;164689;3460872;1443395;2773532;3839;52703;5391;80831;152069;263111;21961;132333;58658;289612;610038;4343342;42905;314476;
1300;почти отсортированный массив;1570071;4233457;277658;6785655;524426;6779352;535858;3990873;3788;53912;21820;224587;4096;52757;5515;80831;115759;241997;390993;6228365;59566;307633;11786;84642;9373;212136;
1300;обратно отсортированный массив;1578513;4599472;279438;10143059;527353;10985907;572050;9295702;311391;6768720;2896251;5250493;4136;53415;5545;80831;122493;231593;538020;5852095;54199;269402;1182206;8478152;10653;249026;
1400;случайные числа 0-5;1852366;4915712;537645;9482719;640839;9701033;688975;7236503;155943;3288240;1687269;3067516;4031;26653;4378;45469;151659;282107;114025;880883;53358;269217;627936;4129252;15043;228838;
1400;случайные числа 0-4000;1835846;4922675;614821;9859683;662380;10359614;733209;7909826;189853;4042168;1731134;3225393;4448;54555;6525;86731;195259;285785;34418;142403;74311;314024;779643;5071662;47876;313548;
1400;почти отсортированный массив;1838143;4909107;342130;7867751;638439;7861747;637694;4647717;4135;58304;24283;243858;4601;54660;5976;86731;128331;262943;483395;7171284;66366;334073;12808;91832;13939;231588;
1400;обратно отсортированный массив;1849580;5330223;327008;11763247;609678;12740917;671505;10780684;363621;7849296;3428751;6076421;4448;55301;5971;86731;136021;251573;635444;6759873;58971;292136;1375410;9830572;11033;267038;
1500;случайные числа 0-5;2128266;5641985;633165;10915759;730588;11144324;809880;8339276;185526;3834520;1886953;3382021;4483;28550;4823;48569;170168;304955;133550;1023518;59321;288953;689616;4813802;12028;244454;
1500;случайные числа 0-4000;2130219;5649224;692656;11266283;756351;11826679;832646;9003446;212283;4535568;1902055;3610792;4239;56488;6178;92631;183225;308753;35519;157474;71083;340823;804056;5690112;52020;328484;
1500;почти отсортированный массив;2138179;5634762;369303;9029851;702223;9023747;735266;5354525;3951;62704;27386;263359;4533;56527;7186;92631;139358;283577;538528;8254531;72808;361916;14538;99032;10206;235414;
1500;обратно отсортированный массив;2117230;6103445;374383;13503379;718481;14625857;790593;12375582;422358;9009760;3904363;6961964;4843;57110;6483;92631;145254;271997;721403;7696949;66533;318142;1575831;11282852;12369;286174;
1600;случайные числа 0-5;2395828;6418142;707581;12365503;818699;12625999;894113;9398047;207514;4254208;2096300;3822813;4616;30451;4981;51669;173956;327827;149931;1148553;63150;314925;764550;5340112;25375;275910;
1600;случайные числа 0-4000;2426968;6426474;774011;12808267;867451;13429582;963524;10226994;244148;5139736;2188886;4081703;4218;58424;6591;98531;202693;331703;36936;180387;78751;367176;924256;6447022;65685;401340;
1600;почти отсортированный массив;2378521;6410412;420856;10271951;810601;10266547;826508;6111417;4571;67104;27898;282878;4911;58459;6814;98531;151856;304337;589768;9336638;77351;389105;14815;106232;9734;243300;
1600;обратно отсортированный массив;2398471;6953078;428910;15363559;806789;16640857;876276;14080552;470388;10250320;4468206;7908352;4868;59115;6818;98531;156361;292013;819578;8751049;70424;340273;1807640;12835252;11730;303200;
1700;случайные числа 0-5;2707786;7244110;793918;13975671;916550;14254284;1014651;10641924;231180;4834744;2492520;4516539;4840;32351;5271;54769;184850;349907;166386;1294048;70446;334763;861591;6067482;14891;282502;
1700;случайные числа 0-4000;2865001;7252395;871636;14463251;1008138;15175447;1092483;11561772;275229;5809904;2503033;4599015;4666;60307;7046;104431;216889;354779;39481;184583;83289;391857;1068886;7286432;62473;395212;
1700;почти отсортированный массив;2740951;7236067;484076;11594047;919906;11588942;955291;6918261;5244;71496;32086;302831;5495;60340;7794;104431;162716;325205;673476;10455025;83869;416019;16820;113422;13641;283992;
1700;обратно отсортированный массив;2730868;7834962;486206;17343703;912723;18785812;1001351;15895468;536685;11570808;5085428;8915554;5423;61015;7401;104431;162148;312131;945320;9709396;74480;366467;2065889;14487562;13410;323352;
1800;случайные числа 0-5;3054751;8120250;879933;15627847;1012746;15914999;1107920;11813967;250078;5339296;2672891;4920734;5216;34251;5684;57869;200436;372593;187968;1451188;71694;358142;940321;6699872;16896;300566;
1800;случайные числа 0-4000;3029096;8130087;940805;16242611;1076013;17054734;1186984;13005864;305501;6568824;2744501;5184180;4571;62176;7363;110331;232821;377603;44631;197007;85571;417952;1153876;8236782;74895;460876;
1800;почти отсортированный массив;3010909;8111712;525115;12996151;1008641;12990947;1046039;7775075;4928;75904;32011;322266;5226;62218;7734;110331;170575;345197;730968;11663235;88168;443118;16841;120632;12603;289886;
1800;обратно отсортированный массив;3056329;8774664;536224;19443903;1022455;21060837;1109678;17820468;595974;12971408;5591271;9982756;5485;62894;7633;110331;173131;332699;1030275;11105762;79891;389839;2279270;16240012;14491;349766;
1900;случайные числа 0-5;3379453;9046498;988599;17515979;1146973;17789307;1256791;13325457;289823;6155760;3104673;5619761;5486;36153;5836;60969;206333;395813;210508;1595558;79051;372359;1087043;7722152;15846;309644;
1900;случайные числа 0-4000;3348931;9056122;1045001;18090219;1203291;18986187;1373304;14453737;341250;7304240;3196484;5753139;4805;64122;8728;116231;248758;400961;50525;210897;93986;444201;1318393;9157752;86003;449824;
1900;почти отсортированный массив;3396863;9037357;603250;14478247;1146413;14473742;1192611;8681961;5505;80296;34554;343146;5511;64123;8095;116231;177215;365699;1037389;8313479;92116;470034;17771;127822;14245;311834;
1900;обратно отсортированный массив;3365513;9770833;586138;21663971;1122138;23465689;1214068;19855263;651848;14451744;6178043;11109616;5674;64815;8133;116231;178766;353057;1127150;12121402;83948;417350;2503996;18092132;15018;366034;
2000;случайные числа 0-5;3697373;10022608;1059574;19284371;1243898;19609572;1363940;14589710;305541;6572744;3233621;5863215;5863;38054;6151;64069;211828;418337;236583;1761563;79743;397367;1188506;8245082;20756;334218;
2000;случайные числа 0-4000;3790748;10032939;1201513;19982099;1368145;20970924;1496838;15945491;374874;7968200;3478296;6267379;5038;66022;8231;122131;258779;423695;49168;219609;98318;471675;1458859;9989402;93501;465958;
2000;почти отсортированный массив;3809186;10013012;681023;16040347;1274689;16035742;1340921;9638769;7204;84696;40209;362889;6179;66031;8561;122131;187658;385715;1175125;9393120;102353;496990;18836;135022;13889;323818;
2000;обратно отсортированный массив;3817933;10807019;676030;24004043;1325161;26000562;1449406;22000078;760294;16012088;7064443;12296498;6173;66715;8711;122131;194821;374057;1288821;13362064;91510;439306;2864193;20044262;18043;389838;
2100;случайные числа 0-5;4165578;11048555;1214003;21359151;1424339;21823182;1552521;16298122;357406;7442504;3839875;6790821;5923;39950;6631;67169;222955;440917;259123;1941353;89510;421415;1349810;9333982;20933;378100;
2100;случайные числа 0-4000;4194495;11059893;1312708;22093231;1517068;23201654;1650906;17698443;423871;8910664;3849696;6989619;4883;67926;8541;128031;253768;447853;56816;226631;102776;497353;1566483;11169182;90860;575280;
2100;почти отсортированный массив;4117370;11038657;720923;17682455;1393058;17678552;1457796;10645673;5775;89112;39149;383229;5984;67955;9128;128031;187773;407359;1261611;10384770;105760;526319;19823;142242;15888;374190;
2100;обратно отсортированный массив;4153336;11902912;744951;26464059;1401570;28665357;1529678;24254802;820551;17652320;7814796;13543134;5873;68601;9053;128031;191668;394759;1417996;14552902;94668;465368;3125696;22096252;19004;430500;
2200;случайные числа 0-5;4578571;12124728;1317966;23409767;1549076;23756299;1694795;17700807;389126;8103936;4278511;7503611;6455;41851;6753;70269;231951;465327;285446;2118688;97366;442795;1463768;10162472;25358;400540;
2200;случайные числа 0-4000;4540821;12136597;1396631;24219523;1611610;25412822;1787908;19331765;453736;9723448;4123086;7617441;5183;69826;8836;133931;267383;471831;60753;258221;107371;523684;1706776;12186862;95098;567770;
2200;почти отсортированный массив;4513528;12114312;799381;19404543;1527341;19400537;1597156;11702463;6920;93488;42315;404504;6061;69852;10954;133931;198656;430455;1104766;17311867;112134;554645;21011;149412;17093;386090;
2200;обратно отсортированный массив;4559910;13091820;797380;29044523;1521273;31460712;1642521;26620198;1015673;19373448;8559785;14851003;6506;70508;9391;133931;204816;415263;1564036;16105638;104886;489632;3445295;24249362;18113;454310;
2300;случайные числа 0-5;5067896;13250993;1440581;25581475;1708418;26105597;1890813;19489518;441586;8847552;4597996;7955549;6896;43751;7224;73369;255871;489941;314743;2312833;99223;469469;1637560;11093692;24345;412308;
2300;случайные числа 0-4000;5000150;13263419;1560825;26546579;1803855;27886969;1961668;21253765;509031;10777760;4668491;8424427;6413;71724;9929;139831;288891;496739;61299;274090;115411;551581;1926163;13506452;99833;560948;
2300;почти отсортированный массив;5013974;13239962;875336;21206647;1704629;21202942;1799451;12809319;6926;97896;53681;424921;6871;71752;10818;139831;217080;453035;1223658;18264767;126543;585259;21906;156622;19509;415768;
2300;обратно отсортированный массив;5051444;14248481;869538;31744299;1695256;34385207;1823823;29094562;1008308;21173200;9321383;16217517;6775;72408;10434;139831;222168;436667;1715360;17259153;114665;517421;3752370;26500752;20560;487138;
2400;случайные числа 0-5;5444363;14427138;1531766;27892235;1836163;28395982;2004721;21202558;457366;9709272;4901905;8567441;7026;45651;7689;76469;259518;514735;331901;2506973;107828;490357;1771988;12172542;45050;447410;
2400;случайные числа 0-4000;5462470;14440010;1697666;28883111;1948318;30302777;2110113;23124442;547135;11691024;4992034;9127688;5391;73625;9681;145731;297563;521089;68920;267904;118791;578631;2049849;14649732;108558;623700;
2400;почти отсортированный массив;5360623;14415607;929659;23088751;1846216;23085747;1998831;13966217;7361;102304;48126;446277;6620;73647;10478;145731;231085;475903;1330848;20227387;125833;614219;22758;163832;17813;423500;
2400;обратно отсортированный массив;5449918;15485019;938925;34564215;1803675;37439877;1964636;31679136;1038321;23053232;9904688;17644279;6808;74294;10463;145731;237730;458095;1816940;18408060;117473;541004;4187798;28852492;19826;499870;
2500;случайные числа 0-5;5944533;15653139;1677660;30218815;2010396;30773134;2181088;22969819;493328;10442632;5460905;9848322;7108;47551;7638;79569;266426;538761;350770;2723258;105765;517624;1831768;13090942;31804;457006;
2500;случайные числа 0-4000;5863280;15667182;1787368;31285783;2097908;32851324;2311745;25045992;580446;12576568;5339594;9805046;5515;75525;10298;151631;314319;545679;73448;286352;125444;605732;2215888;15758362;117198;637076;
2500;почти отсортированный массив;5858473;15641257;1009091;25050847;1955763;25048142;2059563;15173061;7451;106696;48620;465866;7531;75552;11026;151631;236208;498249;1845798;14674648;129671;643034;24034;171022;20996;451796;
2500;обратно отсортированный массив;5859138;16803697;1016935;37504359;1970504;40624832;2117098;34374052;1121668;25013720;10691925;19131609;6883;76208;10851;151631;230521;479403;1956856;19935360;116658;566782;4462195;31304802;21553;528446;
2600;случайные числа 0-5;6391269;16929458;1806153;32713131;2151841;33370412;2354141;24890277;536501;11351464;5659396;10027728;7426;49451;8716;82669;275775;562733;385200;2928993;112891;539170;2029785;14228682;32996;472660;
2600;случайные числа 0-4000;6369953;16944050;1914029;33747791;2215850;35415417;2436760;26903392;615141;13420784;5701411;10456030;6580;77423;10421;157531;326298;570113;74380;283460;131113;635010;2370450;16815332;122471;682440;
2600;почти отсортированный массив;6472506;16916917;1100699;27092931;2113200;27090122;2217355;16429845;7720;111064;51235;487137;7475;77451;11408;157531;236728;520583;1993983;15909514;135175;672155;25206;178182;20318;465190;
2600;обратно отсортированный массив;6269058;18165457;1093941;40564419;2111856;43939682;2285184;37178842;1273316;27054040;11620316;20678733;7261;78115;11405;157531;241281;500909;2113011;21593932;119156;591358;4679840;33856902;23119;551870;
2700;случайные числа 0-5;6760425;18255439;1906945;35218063;2272215;35907488;2494210;26791214;556155;12121528;6341376;11438818;7658;51351;8259;85769;287558;587035;404900;3171008;115228;561237;2130453;15192962;34061;491866;
2700;случайные числа 0-4000;6784716;18270529;2038633;36493023;2370111;38313972;2629684;29183210;673019;14671448;6350980;11412928;7746;79316;10831;163431;350158;594751;82025;294442;142623;662260;2575366;18380362;126353;693996;
2700;почти отсортированный массив;6838495;18242562;1197796;29215051;2326246;29212947;2482351;17736767;7819;115504;53516;508052;7469;79351;12558;163431;253043;543157;1599748;24677991;143441;702065;26395;185432;21025;482016;
2700;обратно отсортированный массив;6937390;19569604;1195803;43744543;2333613;47384612;2547020;40093728;1348461;29174488;12850194;22285890;7423;80015;12488;163431;251985;522193;2246895;23199126;126518;619791;5104831;36509162;22686;569336;
2800;случайные числа 0-5;7280895;19631480;2035901;37890651;2441240;38768798;2666515;28845061;597648;13066904;6767156;12218216;8103;53251;8646;88869;299624;610251;435574;3399998;122730;593584;2287225;16376382;38953;513342;
2800;случайные числа 0-4000;7261278;19647329;2186815;39207051;2549356;41159922;2801808;31327465;728776;15699704;6632598;12199440;6228;81198;11141;169331;354565;619557;83549;331767;142734;689458;2746560;19667382;133071;746602;
2800;почти отсортированный массив;7261479;19618212;1253808;31417151;2437580;31414947;2568923;19093575;7545;119904;55588;528971;8200;81237;12281;169331;259576;565269;1659905;26552864;147053;730514;27448;192632;25384;507442;
2800;обратно отсортированный массив;7294908;21037324;1286603;47044519;2543991;50959349;2638904;43118385;1408775;31374640;13402798;23952452;7841;81894;12396;169331;266808;544011;2429828;24804085;131118;643082;5413908;39261052;24068;592092;
2900;случайные числа 0-5;7797373;21057675;2188121;40677223;2614574;41529412;2866566;31008325;643726;14080248;7008658;12600873;8196;55151;8906;91969;314214;635069;464295;3627448;125316;608729;2482491;17644762;35393;520782;
2900;случайные числа 0-4000;7808858;21074323;2315360;42087847;2735664;44146204;3010108;33567423;775983;16901496;7260156;13118301;6148;83096;11641;175231;372286;643877;85591;342692;147771;717296;2957486;21171322;136009;744232;
2900;почти отсортированный массив;7920784;21043862;1366536;33699251;2652033;33697747;2794683;20500467;8369;124304;58068;549575;7813;83147;12818;175231;270303;587483;2517556;19929355;151938;760830;28188;199832;23609;519562;
2900;обратно отсортированный массив;7886476;22566534;1371990;50464543;2645344;54664154;2859764;46253121;1525543;33654888;14668383;25679854;7956;83808;13203;175231;279321;565697;2613984;26691657;141083;669444;5876609;42113062;24816;611412;
3000;случайные числа 0-5;8421289;22533652;2369300;43474427;2823543;44293852;3103576;33050109;692791;14954856;7840436;13892757;8978;57051;9743;95069;333658;658501;525961;3893158;139168;632946;2837536;18739722;48218;542498;
3000;случайные числа 0-4000;9015001;22550990;3397979;45153851;3290198;47399092;3355925;36176040;850376;18313704;7949474;14193930;6328;85021;12118;181131;394310;668491;90411;327311;159906;745960;3269678;22938282;152876;772218;
3000;почти отсортированный массив;8561100;22519507;1463618;36061351;2858846;36060147;2980906;21957317;8934;128704;61603;569178;8258;85051;13319;181131;294913;609271;2689436;21334599;163991;790331;28829;207032;22936;518718;
3000;обратно отсортированный массив;8546244;24138451;1463463;54004687;2821174;58499109;3042458;49498037;1623621;36015376;15487035;27466840;8276;85715;13536;181131;293043;587473;2794425;28235337;145714;695269;6350174;45065372;26391;633478;
3100;случайные числа 0-5;9093425;24059948;2518588;46512515;3032315;47346453;3331415;35387637;767724;16151232;7986598;14090578;8741;58952;10348;98169;335608;683367;619094;4150563;148948;651075;2975686;20236892;47594;556796;
3100;случайные числа 0-4000;9178608;24077229;2696715;48201431;3199993;50631342;3506756;38631707;912574;19529064;8519345;15123809;7308;86905;13241;187031;399266;693243;92970;366025;165870;773701;3478084;24459182;158991;984166;
3100;почти отсортированный массив;9073633;24045157;1545406;38503451;3011145;38502547;3189181;23464167;9250;133104;64211;589928;8631;86951;13861;187031;299153;631083;1966535;31201494;166776;819924;30658;214232;26238;576916;
3100;обратно отсортированный массив;8978158;25724801;1562688;57664443;3010734;62463587;3265196;52852378;1745541;38455088;16587149;29313457;8610;87615;13948;187031;303646;610083;2941835;29965188;153681;723703;6689788;48116712;25785;647466;
3200;случайные числа 0-5;9556793;25636083;2633581;49484363;3227900;50491014;3501561;37654242;785659;17055128;8938986;15969492;9193;60851;9729;101269;345538;707927;587978;4417898;148206;679487;3023105;21368462;60758;625154;
3200;случайные числа 0-4000;9559016;25654207;2823613;51254059;3330093;53805254;3674698;40998125;940761;20594520;8784508;15939939;6791;88818;12741;192931;418733;718181;98350;372182;168371;801233;3626760;25792702;162801;938794;
3200;почти отсортированный массив;9532738;25620817;1640840;41025543;3209948;41024937;3404903;25021005;8721;137488;67304;610894;9588;88852;14399;192931;300464;653585;2089730;33234085;171358;848541;30738;221412;21584;538604;
3200;обратно отсортированный массив;9612303;27418259;1671971;61444635;3224191;66558594;3514615;56317359;1858526;40975672;17494326;31222357;8825;89501;14650;192931;301095;630929;3114671;31759607;154253;749593;7124521;51269142;27308;671924;
3300;случайные числа 0-5;10239498;27262446;2796778;52865379;3392254;53936619;3715286;40367556;851664;18617360;9081430;16231397;9435;62751;10074;104369;355621;732685;609433;4699298;146889;700344;3281841;23322952;46501;598832;
3300;случайные числа 0-4000;10166258;27280724;3014243;54503399;3550596;57222032;3899103;43570789;999181;21893400;9338128;16932649;6823;90710;13158;198831;433364;742153;103686;374450;173811;829172;3855915;27418002;162940;875062;
3300;почти отсортированный массив;10177984;27246462;1757428;43627651;3412006;43627347;3626823;26627867;9295;141904;69854;630412;9653;90746;15261;198831;312123;675919;2148020;34129281;178936;877722;32186;228632;24431;566962;
3300;обратно отсортированный массив;10204408;29150145;1759795;65344643;3411298;70783387;3693924;59892078;1956105;43575888;18831430;33190425;9231;91415;14891;198831;316391;652417;3293871;33529421;156491;775107;7508361;54521112;29883;713712;
