Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
1000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;754183;415784;390641;871080;
1100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;751915;429918;431175;838026;
1200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;753165;403992;408704;856131;
1300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;749395;410769;415882;857739;
1400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;749212;412938;418640;869970;
1500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;748895;410087;415731;845314;
1600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;751426;412372;417159;842475;
1700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;751563;411229;413512;839545;
1800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;749122;431652;437779;836607;
1900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;749176;441447;449036;868511;
2000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;749709;413300;421556;831366;
2100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;748366;426274;430023;823368;
2200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;746987;436626;442047;849718;
2300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;747783;420135;405211;856637;
2400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;746382;440139;444036;850101;
2500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;747264;416683;409091;844610;
2600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;746001;447135;456644;877676;
2700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;745759;444856;454275;869026;
2800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;745536;436750;438902;864562;
2900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;746238;427349;436934;838028;
3000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;745806;421488;415161;842647;
100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;51442;37453;37042;71266;
200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;51445;38554;39361;72440;
300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;50985;39000;40214;72825;
400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;51060;39694;41312;74014;
500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;51096;40266;42292;74798;
600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;50419;40677;43102;75371;
700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;50351;41461;44294;76358;
800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;50423;42125;45353;77295;
900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;50473;42356;45440;78180;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;49955;43030;46297;78837;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;50247;44047;48506;79812;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;50013;44565;49424;80584;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;49962;44825;50091;81586;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;49465;45764;51436;82263;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;49314;46491;52563;83032;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;48727;46329;52808;83620;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;48623;47404;54286;84371;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;48529;47912;55200;85215;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;48144;48204;55390;85979;
2000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;48796;48975;57073;86877;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;48717;49698;58194;87255;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;48353;50814;59721;89074;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;48432;50837;60151;89757;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;47482;51660;61372;90118;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;47853;52602;62713;91437;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;47057;52394;62909;91844;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;47359;53768;64710;92970;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;47712;53928;65256;94009;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;47298;55083;66823;94797;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов;46971;55397;67508;94852;
100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;516508;368067;368246;701775;
200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;514686;368179;368803;701735;
300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;514315;372317;373441;706600;
400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;515233;374526;376149;709552;
500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;514546;373880;375899;707969;
600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;515586;375006;375723;709338;
700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;515392;375445;376539;709354;
800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;515518;372454;375687;713100;
900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;514960;372924;376569;714004;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;515255;373658;377698;714683;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;515003;378990;383447;715865;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;514045;374786;379634;715561;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;515345;375532;380795;717121;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;512508;379788;385458;716150;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;513099;381011;387082;718164;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;514521;382070;388537;720165;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;514463;378055;384932;720587;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;513149;382941;390114;721072;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;512415;383183;390865;721349;
2000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;511569;383485;391580;721485;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;513012;381677;381962;721825;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;511885;385092;394005;723947;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;512443;386236;395553;725400;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;512443;386876;396587;726405;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;510996;385753;395873;724793;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;511101;382854;393364;727065;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;512350;388740;399668;729077;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;512825;385261;390422;729732;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;511047;389625;401334;729809;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов;510629;389768;401357;730161;
