Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;75947;42795;42220;84805;
200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;75299;41869;42679;87986;
300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;73632;42234;43447;88660;
400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;73683;43639;44826;84148;
500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;73301;44880;45800;86606;
600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;71922;43354;44943;88408;
700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;73384;44321;46336;89070;
800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;71897;45684;48899;88164;
900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;71022;46224;47770;93443;
1000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;70835;46455;50589;93247;
1100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;71829;46909;50698;93908;
1200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;70702;49449;54388;91393;
1300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;69373;48005;53125;91394;
1400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;71083;48664;53364;92974;
1500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;69661;52712;58640;97286;
1600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;69845;51723;57722;96307;
1700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;68812;53937;60748;98631;
1800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;67455;52661;57474;98662;
1900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;68758;54496;61608;99576;
2000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;67487;56039;64263;102110;
2100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;68056;55620;63459;100638;
2200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;67188;56998;65737;103631;
2300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;66767;56902;65066;104645;
2400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;66342;55274;65168;103320;
2500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;65881;55823;65502;106089;
2600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;65125;57046;67707;103338;
2700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;64103;56548;67044;106220;
2800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;64661;58887;70120;102951;
2900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;63246;57878;69267;107389;
3000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов;63523;59310;70427;108467;
100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;756063;424712;419887;833034;
200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;752693;397912;397829;824320;
300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;755173;431724;429014;853583;
400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;754309;434339;435772;865539;
500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;755271;415800;411269;818595;
600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;756531;406334;390715;852435;
700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;753773;435093;436403;863249;
800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;754533;408382;411358;847174;
900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов;750097;403135;405204;821161;
