Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
2700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8086262;6205088;6374638;11539824;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8066358;6234384;6413768;11632370;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8061274;6246149;6433898;11647104;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8058355;6253727;6448209;11656431;
100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4807293;2606673;2512657;5212202;
200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4736812;2765930;2815921;5327601;
300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4732719;2850969;2926788;5537521;
400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4666770;2753689;2856050;5683516;
500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4680353;2901196;2978993;5621901;
600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4563483;2932988;3019738;5589023;
700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4564577;2827191;2959597;5821434;
800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4503474;3093487;3290212;5854351;
900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4490640;2938303;3063589;5954142;
1000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4357098;3076210;3145519;5384693;
1100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4362048;3144312;3364678;5927929;
1200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4356259;3112809;3279590;6104355;
1300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4372704;3170801;3337662;6039067;
1400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4310478;3357111;3701050;6201861;
1500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4151160;3435915;3831183;6325319;
1600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4267437;3205229;3626464;6218498;
1700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4136483;3378876;3799861;5986906;
1800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4032349;3484913;3904160;6302177;
1900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4214164;3330576;3786548;6371040;
2000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);4183067;3361605;3842142;6413996;
2100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3935931;3518681;4061415;6301415;
2200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3959381;3696314;4238554;6529691;
2300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3898419;3511117;4059682;6430991;
2400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3909046;3786022;4403370;6705464;
2500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3874324;3595501;4203645;6632723;
2600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3829569;3899679;4582754;6922897;
2700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3634981;3812025;4495452;6553022;
2800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3690871;3720790;4462850;6836466;
2900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3516538;4005545;4673732;7024857;
3000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (3 символов подстановки);3568666;3987639;4724928;6946540;
100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48305337;27308139;27296700;53925283;
200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48358937;26938498;26918563;52659320;
300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48297996;25575213;25617359;53720594;
400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48267630;25846073;25894344;52778591;
500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48185583;27502395;27571717;54166656;
600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48181021;26551998;24670733;55411636;
700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48120167;25958656;26142855;54094530;
800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48025451;26141853;26352484;54896228;
900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48089437;25799661;26020640;53388349;
1000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);48061559;25852737;26090903;54416628;
1100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47950236;26237273;26520745;54722481;
1200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47863980;26375106;26683697;55228295;
1300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47796592;26263347;25430924;53836836;
1400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47766964;27897617;28217942;54666353;
1500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47780781;26328015;26651140;53351574;
1600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47638955;26046977;25822064;52385480;
1700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47644168;27894471;27990560;54219526;
1800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47619526;26367457;26263093;56068018;
1900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47663629;26643169;27064479;55183826;
2000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47553066;26561267;26968633;54073075;
2100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47691605;26290026;26832295;54081518;
2200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47485267;26685005;27116784;54222485;
2300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47527269;26681674;27174805;54262547;
2400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47472592;26722856;27240635;54309617;
2500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47543083;27016305;26130146;55677318;
2600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47238865;28441718;28643555;55037623;
2700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47161746;27596063;28021367;52966640;
2800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47181543;28268433;28785668;54629939;
2900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47199589;27133260;27892913;56724214;
3000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (3 символов подстановки);47250565;28210181;28893959;54168184;
100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3273405;2415679;2441415;4565852;
200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3258198;2458698;2510369;4614517;
300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3221896;2496848;2564332;4650805;
400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3190241;2534370;2637835;4706253;
500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3194863;2553233;2682923;4768614;
600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3148931;2586885;2742168;4807874;
700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3127493;2656784;2837948;4854396;
800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3080923;2672909;2880212;4898174;
900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3100551;2711719;2905242;4957138;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3047429;2777789;3033857;4994930;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2944685;2817399;3102341;5017237;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3044794;2821114;3132053;5109207;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);3014500;2860237;3195789;5106886;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2908836;2944976;3308293;5186463;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2858263;2979480;3368504;5209072;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2986413;2978133;3392622;5311717;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2834712;3056743;3497417;5317095;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2772191;3092308;3559018;5350504;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2738005;3108034;3600485;5390704;
2000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2769009;3142206;3660698;5450639;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2721564;3220053;3763970;5506916;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2675092;3217339;3787919;5539888;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2662117;3293620;3886757;5597530;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2575307;3291413;3913141;5613437;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2735914;3363293;4010446;5728624;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2563416;3415426;4089525;5736570;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2754961;3454059;4153534;5859846;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2619108;3491597;4216774;5870687;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2413523;3532695;4284005;5848113;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (3 символов подстановки);2729153;3562873;4340409;6005414;
100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);33022624;23548348;23574009;45152143;
200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32919369;23767775;23819193;44935598;
300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);33034363;23949654;24027299;45397175;
400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32894215;23945313;24048832;45369986;
500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32953533;24031816;24161558;45484398;
600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32780527;24014644;24170078;45433610;
700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32892963;23812188;23993277;45546224;
800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32877270;24136923;24343655;45615407;
900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32809929;24080939;24313989;45315735;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32825473;24186454;24445821;45682533;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32634270;24215731;24500913;45671240;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32636542;24164323;24474936;45425707;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32642910;24298593;24635438;45783958;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32715846;24314299;24570032;45714045;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32671462;24110468;24499608;45926517;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32485828;24418606;24833136;45903336;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32597316;24490977;24903006;45978814;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32623434;24236375;24702491;46056890;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32318446;24235628;24727117;46002764;
2000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32576469;24562336;25080210;46155832;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32428649;24594598;25107883;46121662;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32368065;24353188;24923053;46216266;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32607655;24591509;25187150;46007004;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32438085;24418893;25040789;46215694;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32300179;24527795;25175905;46377828;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32268672;24838960;25510807;46353313;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32399464;24806021;25505584;46383403;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32488877;24629213;25356171;46585111;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32197324;24941182;25693190;46527725;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (3 символов подстановки);32275138;24939950;25717521;46514137;
100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);19369119;10946739;10748457;21406741;
200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);19255489;10920715;10941749;21299940;
300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);14318920;9799919;10105082;19392747;
400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);18303267;11088975;10885889;22065481;
500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);18811260;11088505;11393918;22904600;
600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);18363812;12004276;12636907;23094209;
700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);17745134;12096476;12809325;22532787;
800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);18083448;11813058;12029887;23865658;
900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);18211968;12492002;13250840;23518320;
1000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);17506926;12075854;13129104;23147638;
1100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);17321346;12845778;13856006;23563170;
1200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);17406187;12817207;13772266;24265298;
1300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);17408102;12707994;13987506;23819028;
1400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);17291451;12971399;14309341;23525926;
1500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);16863440;12615360;13972683;24844725;
1600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);16470295;13200261;14262392;23890676;
1700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);16597227;13667179;15241152;25178342;
1800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);15778782;13359100;14812286;25061343;
1900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);16296501;13869904;15744253;24732316;
2000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);15941044;14177701;16075466;25420736;
2100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);16340202;13758000;15773010;26590389;
2200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);15086700;14032245;16351162;26276010;
2300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);15973358;13926025;16366077;26143943;
2400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);15626073;14304371;16632187;27030737;
2500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);14867028;15142759;17579282;26769634;
2600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);14791201;15380843;18122458;26351586;
2700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);14227952;14641864;17501215;26798736;
2800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);14413975;15458140;18289467;26618215;
2900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);14414209;15025498;18096385;27776474;
3000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (4 символов подстановки);13968309;16016297;18894886;27527338;
100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);193464241;107159377;104857126;211844551;
200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);193258573;101688623;99629707;215431468;
300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);192988198;108408515;107985965;212597177;
400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);192893392;107688816;105705246;212475261;
500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);192766485;104305104;104826470;220820266;
600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);192625009;105128991;105450324;210470073;
700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);192498595;110797547;110805849;218620154;
800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);192135949;110642448;109743633;216544188;
900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);192309699;103153338;101805085;216263426;
1000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);191923999;110137426;109942652;214606754;
1100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);191601914;104105497;104431956;206924549;
1200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);191440443;111553847;112341015;219089605;
1300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);191093860;106437031;107387111;212687173;
1400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);191167063;109980857;109169343;216692191;
1500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);190845057;111323279;111400667;215228550;
1600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);190874448;110244988;109467142;217262087;
1700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);190558710;108440100;101661244;215208782;
1800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);190117299;105732346;107485163;217139460;
1900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);190384830;106068736;103357209;214331668;
2000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);189929437;112147846;112902023;217505191;
2100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);189869176;105950897;105857173;223767341;
2200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);189586141;108514857;110252521;212842644;
2300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);189895104;108434069;110299691;213513521;
2400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);190079960;107202906;109661868;221957449;
2500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);189376185;109486655;103971412;219439045;
2600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);189885956;105675748;106059577;216108723;
2700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);189183722;106378308;108698252;215250031;
2800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);189213595;109282856;111660152;214480920;
2900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);188529832;115029483;117148263;223975842;
3000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (4 символов подстановки);188624203;108671682;111780807;226591316;
100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12991910;9653693;9756820;18201200;
200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12989718;9825575;9988796;18372849;
300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12954333;10018182;10328640;18687470;
400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12702697;10133391;10546574;18816393;
500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12533227;10169610;10647166;18944443;
600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12638714;10459033;11080071;19214853;
700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12385677;10623335;11348427;19320968;
800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12245742;10760818;11586773;19521948;
900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12154330;10932944;11823044;19668439;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12074324;11047564;12082590;19825548;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12159853;11156507;12297908;20206044;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12085304;11421536;12660815;20363455;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);12288819;11595070;12944247;20708747;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11689585;11609906;13059767;20660856;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11823030;11734845;13288570;20913508;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11497024;12069661;13724670;21083158;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11269022;12118603;13881578;21249180;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11245276;12406896;14273159;21494691;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);10953972;12565465;14535978;21583956;
2000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11046171;12705758;14778483;21857370;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11000271;12846494;15020502;22099404;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);10411984;13030709;15298739;22068025;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);10586257;13065593;15299259;22345070;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);10867885;13304354;15795876;22553053;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11294539;13422726;16004719;22912104;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);10038672;13680286;16376842;22884759;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);9951739;13831116;16627619;23070353;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);10146772;13947148;16808972;23296340;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);10244116;13983782;16989580;23649749;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (4 символов подстановки);11032225;14107755;17215125;24069843;
100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131964696;94197164;94299646;180974613;
200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);132090685;94346882;94553044;181258129;
300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131791701;95689967;95999164;181398139;
400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131707018;95564978;95979906;181165562;
500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131539957;95711431;96199349;181303965;
600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131483642;95894555;96513433;181393708;
700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131229903;96318903;97041966;182061602;
800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131426899;96509245;97338040;182378045;
900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131107557;96630333;97560821;182491550;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);130769996;96769628;97798174;182549333;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131015955;95763934;96903792;182809045;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);130680766;95923396;97164884;182946209;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);130793565;97310450;98658889;183317436;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);130580654;97480452;98928563;183461775;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);130353937;97631613;99186122;183633443;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);131071298;97489247;99148058;183637734;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129855938;97901082;99662950;183848890;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129966462;98129734;99995484;184177450;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129973921;97010280;98980016;182956331;
