Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
2600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (1 символов подстановки);2975803;1676376;1709982;3404677;
2700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (1 символов подстановки);2955481;1657611;1699157;3391119;
2800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (1 символов подстановки);2953361;1746428;1743147;3380565;
2900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (1 символов подстановки);2966991;1700812;1743789;3368309;
3000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (1 символов подстановки);2964183;1783315;1829728;3466648;
100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);205233;149565;151175;285281;
200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);204991;151907;155154;288142;
300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);203469;154528;159377;292326;
400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);200556;158219;164707;293122;
500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);201643;161135;169179;298771;
600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);198749;161477;171187;300586;
700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);197687;164109;175400;303839;
800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);199602;168123;181118;306323;
900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);192744;170957;185540;309589;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);196330;173352;189511;313936;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);193313;176281;194101;317182;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);193925;177258;196630;319798;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);184741;180902;201961;321116;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);187985;181377;204089;326130;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);187272;184089;208401;328975;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);189717;188133;214027;333078;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);185793;190859;218271;335201;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);190689;193248;222414;340623;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);190966;194710;225378;343390;
