x,y
18,31208
118,3077584
218,10218000
318,30625375
418,68785458
518,134065625
618,224503459
718,357486917
818,498289833
918,731489250
1018,997615083
1118,1302653208
1218,1719399542
1318,2180435834
1418,2695086875
1518,3312726042
1618,4042066417
1718,4822712416
1818,5684395500
1918,6589021667
2018,7893571667
