x,y
10,21667
60,199000
110,448042
160,438166
210,652625
260,993625
310,1283250
360,1636000
410,2037625
460,2461250
510,3066416
560,3489833
610,4048667
660,4697417
710,5564375
760,6048417
810,6886417
860,7784250
910,8477708
960,9325791
1010,10259792
