x,y
90,20916
3540,3752459
11990,13484459
25440,32252042
43890,75374583
67340,142100208
95790,235642584
129240,377725500
167690,543557750
211140,768113583
259590,1050379625
313040,1397311375
371490,1800121958
434940,2290291708
503390,2842169834
576840,3489851750
655290,4214336250
738740,5045045750
827190,5984399417
920640,7033400250
1019090,8170488375
