x,y
10,31792
60,4184583
110,13483458
160,35528416
210,80036500
260,154414167
310,252694958
360,403006375
410,580795333
460,819908000
510,1119524416
560,1476111000
610,1916896291
660,2444154084
710,3008839834
760,3696854833
810,4484786417
860,5334138209
910,6343561750
960,7439315416
1010,8636263791
