x,y
10,32958
60,4395292
110,17936791
160,35736500
210,80667292
260,152103041
310,252697208
360,394431750
410,587494166
460,814367417
510,1110626708
560,1473691292
610,1911784083
660,2420773583
710,3019615042
760,3690994917
810,4468862541
860,5356310500
910,6369152917
960,7460891125
1010,8646821667
