x,y
10,9792
60,47000
110,51125
160,73125
210,97292
260,111250
310,142333
360,160583
410,190500
460,203542
510,222542
560,266417
610,285791
660,298750
710,328667
760,352417
810,399792
860,433250
910,418750
960,448292
1010,465958
