x,y
90,20458
3540,3441292
11990,11193667
25440,32266333
43890,74081583
67340,142956458
95790,233861125
129240,370132209
167690,541706250
211140,768509541
259590,1051899792
313040,1388763750
371490,1810094292
434940,2285069125
503390,2842657500
576840,3493886041
655290,4222210167
738740,5055568250
827190,5984917750
920640,7032874500
1019090,8180811750
