x,y
10,18666
60,204625
110,283000
160,421459
210,708208
260,938042
310,1304708
360,1796541
410,2029375
460,2610666
510,3118833
560,3530667
610,4060458
660,4692959
710,5481834
760,6109208
810,7065042
860,7806750
910,8580875
960,9656708
1010,10406333
