x,y
90,21667
3540,199000
11990,448042
25440,438166
43890,652625
67340,993625
95790,1283250
129240,1636000
167690,2037625
211140,2461250
259590,3066416
313040,3489833
371490,4048667
434940,4697417
503390,5564375
576840,6048417
655290,6886417
738740,7784250
827190,8477708
920640,9325791
1019090,10259792
