x,y
90,18666
3540,204625
11990,283000
25440,421459
43890,708208
67340,938042
95790,1304708
129240,1796541
167690,2029375
211140,2610666
259590,3118833
313040,3530667
371490,4060458
434940,4692959
503390,5481834
576840,6109208
655290,7065042
738740,7806750
827190,8580875
920640,9656708
1019090,10406333
