x,y
18,6375
118,185416
218,387375
318,754708
418,1283958
518,1981333
618,2646500
718,3585375
818,4701208
918,6016292
1018,7286250
1118,8722333
1218,10275833
1318,12017666
1418,13980167
1518,16206916
1618,17850083
1718,20319875
1818,22432583
1918,24956583
2018,27561208
