x,y
18,9792
118,47000
218,51125
318,73125
418,97292
518,111250
618,142333
718,160583
818,190500
918,203542
1018,222542
1118,266417
1218,285791
1318,298750
1418,328667
1518,352417
1618,399792
1718,433250
1818,418750
1918,448292
2018,465958
