x,y
90,32958
3540,4395292
11990,17936791
25440,35736500
43890,80667292
67340,152103041
95790,252697208
129240,394431750
167690,587494166
211140,814367417
259590,1110626708
313040,1473691292
371490,1911784083
434940,2420773583
503390,3019615042
576840,3690994917
655290,4468862541
738740,5356310500
827190,6369152917
920640,7460891125
1019090,8646821667
