x,y
10,20916
60,3752459
110,13484459
160,32252042
210,75374583
260,142100208
310,235642584
360,377725500
410,543557750
460,768113583
510,1050379625
560,1397311375
610,1800121958
660,2290291708
710,2842169834
760,3489851750
810,4214336250
860,5045045750
910,5984399417
960,7033400250
1010,8170488375
