x,y
90,31792
3540,4184583
11990,13483458
25440,35528416
43890,80036500
67340,154414167
95790,252694958
129240,403006375
167690,580795333
211140,819908000
259590,1119524416
313040,1476111000
371490,1916896291
434940,2444154084
503390,3008839834
576840,3696854833
655290,4484786417
738740,5334138209
827190,6343561750
920640,7439315416
1019090,8636263791
